階層1,階層2,階層3,階層4,内容,チェック
原紙(予備),,,,原紙(予備),
【作業日】,,,,【作業日】,
|  |,,,,|  |,
| --- |,,,,| --- |,
【開始時刻】,,,,【開始時刻】,
|  |,,,,|  |,
| --- |,,,,| --- |,
なにかあったらすぐに西山へ🫡,,,,なにかあったらすぐに西山へ🫡,
090-7500-9595,,,,090-7500-9595,
10:00過ぎても宿泊者がまだ居る,,,,10:00過ぎても宿泊者がまだ居る,
タバコ臭い、壊れてる　などなど,,,,タバコ臭い、壊れてる　などなど,
📝[予約情報（ベッド数など）](https://docs.google.com/spreadsheets/d/18OoUHMsED94CylvjncVDsg7jvOpelRrdUsXCcKaUCDU/edit?usp=sharing),,,,📝[予約情報（ベッド数など）](https://docs.google.com/spreadsheets/d/18OoUHMsED94CylvjncVDsg7jvOpelRrdUsXCcKaUCDU/edit?usp=sharing),
駐車場,,,,駐車場,
駐車場,,,,ゴミ拾い（ゴミボックス内のゴミ袋使用）,□
駐車場,,,,ゴミボックスがいっぱい→西山に連絡,□
駐車場,,,,雑草チェック,□
駐車場,,,,補充）ビニール袋（都度）,□
駐車場,,,,（除草剤散布）毎回は不要,□
駐車場,,,,（草抜き）毎回は不要,□
テラス,,,,テラス,
テラス,,,,安全チェーン 設置位置のズレ、外れたりしていないか,□
テラス,,,,忘れ物チェック,□
テラス,,,,落ち葉や虫の死骸の清掃,□
テラス,,,,床面に残飯あったら流し台へ,□
テラス,,,,トング、包丁、ハサミ、お皿などの洗浄,□
テラス,ガスコンロ,,,ガスコンロ,
テラス,ガスコンロ,,,網の洗浄,□
テラス,ガスコンロ,,,受皿の洗浄,□
テラス,ガスコンロ,,,コンロ本体の洗浄,□
テラス,ガスコンロ,,,フタの裏,□
テラス,ガスコンロ,,,受皿を乗せるところ,□
テラス,ガスコンロ,,,本体の両サイドに格納してあるテーブル,□
テラス,灰皿,,,灰皿,
テラス,灰皿,,,ゴミを、流し台の水切りネットへ捨てる,□
テラス,灰皿,,,本体、ふたの洗浄,□
テラス,灰皿,,,階段下に設置（水は不要）,□
テラス,流し台,,,流し台,
テラス,流し台,,,残飯の回収（水切りネットごとを捨てる）,□
テラス,流し台,,,三角コーナーの洗浄,□
テラス,流し台,,,生ゴミかごの洗浄,□
テラス,流し台,,,天板の洗浄,□
テラス,流し台,,,シンク内の洗浄,□
テラス,流し台,,,下の棚部分 洗浄,□
テラス,交換,,,交換,
テラス,交換,,,水切りネット,□
テラス,交換,,,スポンジ（汚れている場合）2枚,□
テラス,テーブル、イス,,,テーブル、イス,
テラス,テーブル、イス,,,油汚れの除去（洗剤スポンジ）,□
テラス,テーブル、イス,,,ホースで高圧洗浄,□
テラス,テーブル、イス,,,折りたたみイス、簡易テーブル、タープテントの片付け（テラスのBOXへ）,□
テラス,補充,,,補充,
テラス,補充,,,食器洗剤【毎回】,□
テラス,補充,,,パイプユニッシュ（都度）,□
テラス,次の予約がBBQ利用あり,,,次の予約がBBQ利用あり,
テラス,次の予約がBBQ利用あり,,,コンロの受皿に水を入れる（MAX目盛りの8割）,□
テラス,次の予約がBBQ利用あり,,,コンロの網をセット,□
テラス,次の予約がBBQ利用あり,,,ガスボンベをセット（1階備品庫、解錠番号007）,□
テラス,次の予約がBBQ利用あり,,,電池をセット（1階備品庫、解錠番号007）,□
テラス,次の予約がBBQ利用あり,,,着火テスト（右も左も）↓着火しない原因↓,□
